trajectory_id,initial_soc,initial_polarization_v,split
level1r_terminal_000,0.7402107142857143,0.05,train
level1r_terminal_001,0.7406321428571429,0.025,train
level1r_terminal_002,0.7410535714285714,0.07500000000000001,terminal_test
level1r_terminal_003,0.741475,0.0125,terminal_test
level1r_terminal_004,0.7418964285714286,0.0625,train
level1r_terminal_005,0.7423178571428571,0.037500000000000006,train
level1r_terminal_006,0.7427392857142857,0.08750000000000001,validation
level1r_terminal_007,0.7431607142857143,0.00625,train
level1r_terminal_008,0.7435821428571429,0.05625,train
level1r_terminal_009,0.7440035714285714,0.03125,train
level1r_terminal_010,0.744425,0.08125,train
level1r_terminal_011,0.7448464285714286,0.018750000000000003,train
level1r_terminal_012,0.7452678571428571,0.06875,train
level1r_terminal_013,0.7456892857142857,0.043750000000000004,train
level1r_terminal_014,0.7461107142857143,0.09375,train
level1r_terminal_015,0.7465321428571429,0.003125,train
level1r_terminal_016,0.7469535714285714,0.053125000000000006,train
level1r_terminal_017,0.747375,0.028125,train
level1r_terminal_018,0.7477964285714286,0.078125,validation
level1r_terminal_019,0.7482178571428572,0.015625,terminal_test
level1r_terminal_020,0.7486392857142857,0.065625,validation
level1r_terminal_021,0.7490607142857143,0.040625,train
level1r_terminal_022,0.7494821428571429,0.09062500000000001,terminal_test
level1r_terminal_023,0.7499035714285714,0.009375000000000001,train
level1r_terminal_024,0.750325,0.059375000000000004,train
level1r_terminal_025,0.7507464285714286,0.034375,train
level1r_terminal_026,0.7511678571428572,0.084375,train
level1r_terminal_027,0.7515892857142857,0.021875000000000002,train
level1r_terminal_028,0.7520107142857143,0.07187500000000001,terminal_test
level1r_terminal_029,0.7524321428571429,0.046875,validation
level1r_terminal_030,0.7528535714285715,0.096875,train
level1r_terminal_031,0.753275,0.0015625,train
level1r_terminal_032,0.7536964285714286,0.051562500000000004,train
level1r_terminal_033,0.7541178571428572,0.026562500000000003,train
level1r_terminal_034,0.7545392857142857,0.0765625,train
level1r_terminal_035,0.7549607142857143,0.0140625,train
level1r_terminal_036,0.7553821428571429,0.06406250000000001,train
level1r_terminal_037,0.7558035714285715,0.0390625,train
level1r_terminal_038,0.756225,0.0890625,terminal_test
level1r_terminal_039,0.7566464285714286,0.0078125,train
level1r_terminal_040,0.7570678571428572,0.0578125,train
