state_id,warm_start_index,warm_start_kind,first_action_a,objective_value,optimizer_success,prediction_feasible,used_fallback,status,minimum_constraint_margin
level2_audit_000,0,default,10.0,28.282490654553097,True,True,False,Optimization terminated successfully,0.19666268294304246
level2_audit_000,1,constant_0.0,9.999999999999794,28.282490654553193,True,True,False,Optimization terminated successfully,0.196662682943046
level2_audit_000,2,constant_2.5,10.0,28.282490654553097,True,True,False,Optimization terminated successfully,0.19666268294304246
level2_audit_000,3,constant_5.0,10.0,28.282490654553097,True,True,False,Optimization terminated successfully,0.19666268294304246
level2_audit_000,4,constant_7.5,10.0,28.282490654553097,True,True,False,Optimization terminated successfully,0.19666268294304246
level2_audit_000,5,constant_10.0,10.0,28.282490654553097,True,True,False,Optimization terminated successfully,0.19666268294304246
level2_audit_000,6,ramp_up,10.0,28.282490654553097,True,True,False,Optimization terminated successfully,0.19666268294304246
level2_audit_000,7,ramp_down,10.0,28.282490654553097,True,True,False,Optimization terminated successfully,0.19666268294304423
level2_audit_000,8,alternating,9.999999999999364,28.282490654553406,True,True,False,Optimization terminated successfully,0.1966626829430531
level2_audit_000,9,random_09,9.999999999999808,28.282490654553218,True,True,False,Optimization terminated successfully,0.19666268294304512
level2_audit_000,10,random_10,9.999999999999977,28.282490654553108,True,True,False,Optimization terminated successfully,0.19666268294304334
level2_audit_000,11,random_11,9.999999999999924,28.28249065455312,True,True,False,Optimization terminated successfully,0.19666268294304512
level2_audit_000,12,random_12,10.0,28.282490654553097,True,True,False,Optimization terminated successfully,0.19666268294304423
level2_audit_000,13,random_13,9.999999999999622,28.28249065455327,True,True,False,Optimization terminated successfully,0.19666268294305045
level2_audit_000,14,random_14,10.0,28.282490654553097,True,True,False,Optimization terminated successfully,0.19666268294304246
level2_audit_001,0,default,10.0,25.729924060586093,True,True,False,Optimization terminated successfully,0.17706844553055756
level2_audit_001,1,constant_0.0,10.0,25.729924060586093,True,True,False,Optimization terminated successfully,0.17706844553055756
level2_audit_001,2,constant_2.5,10.0,25.729924060586093,True,True,False,Optimization terminated successfully,0.17706844553055756
level2_audit_001,3,constant_5.0,10.0,25.729924060586093,True,True,False,Optimization terminated successfully,0.17706844553055756
level2_audit_001,4,constant_7.5,10.0,25.729924060586093,True,True,False,Optimization terminated successfully,0.17706844553055756
level2_audit_001,5,constant_10.0,10.0,25.729924060586093,True,True,False,Optimization terminated successfully,0.17706844553055756
level2_audit_001,6,ramp_up,10.0,25.729924060586093,True,True,False,Optimization terminated successfully,0.17706844553055756
level2_audit_001,7,ramp_down,10.0,25.729924060586093,True,True,False,Optimization terminated successfully,0.17706844553055756
level2_audit_001,8,alternating,9.999999999999648,25.72992406058622,True,True,False,Optimization terminated successfully,0.17706844553056378
level2_audit_001,9,random_09,10.0,25.729924060586093,True,True,False,Optimization terminated successfully,0.17706844553055756
level2_audit_001,10,random_10,9.99999999999953,25.729924060586296,True,True,False,Optimization terminated successfully,0.17706844553056822
level2_audit_001,11,random_11,9.999999999999988,25.729924060586093,True,True,False,Optimization terminated successfully,0.17706844553055845
level2_audit_001,12,random_12,9.99999999999949,25.72992406058643,True,True,False,Optimization terminated successfully,0.17706844553057355
level2_audit_001,13,random_13,10.0,25.729924060586093,True,True,False,Optimization terminated successfully,0.17706844553055756
level2_audit_001,14,random_14,10.0,25.729924060586093,True,True,False,Optimization terminated successfully,0.17706844553055756
level2_audit_002,0,default,10.0,23.819914922131233,True,True,False,Optimization terminated successfully,0.1631092882106131
level2_audit_002,1,constant_0.0,9.99999999999991,23.81991492213127,True,True,False,Optimization terminated successfully,0.16310928821061488
level2_audit_002,2,constant_2.5,10.0,23.819914922131233,True,True,False,Optimization terminated successfully,0.1631092882106131
level2_audit_002,3,constant_5.0,10.0,23.819914922131233,True,True,False,Optimization terminated successfully,0.1631092882106131
level2_audit_002,4,constant_7.5,10.0,23.819914922131233,True,True,False,Optimization terminated successfully,0.1631092882106131
level2_audit_002,5,constant_10.0,10.0,23.819914922131233,True,True,False,Optimization terminated successfully,0.1631092882106131
level2_audit_002,6,ramp_up,10.0,23.819914922131233,True,True,False,Optimization terminated successfully,0.1631092882106131
level2_audit_002,7,ramp_down,9.999999999999995,23.819914922131264,True,True,False,Optimization terminated successfully,0.16310928821061843
level2_audit_002,8,alternating,10.0,23.819914922131233,True,True,False,Optimization terminated successfully,0.1631092882106131
level2_audit_002,9,random_09,9.999999999999988,23.819914922131233,True,True,False,Optimization terminated successfully,0.1631092882106131
level2_audit_002,10,random_10,10.0,23.819914922131233,True,True,False,Optimization terminated successfully,0.1631092882106131
level2_audit_002,11,random_11,9.999999999999698,23.819914922131353,True,True,False,Optimization terminated successfully,0.16310928821061932
level2_audit_002,12,random_12,9.999999999999995,23.819914922131233,True,True,False,Optimization terminated successfully,0.163109288210614
level2_audit_002,13,random_13,10.0,23.819914922131233,True,True,False,Optimization terminated successfully,0.1631092882106131
level2_audit_002,14,random_14,10.0,23.819914922131233,True,True,False,Optimization terminated successfully,0.1631092882106131
level2_audit_003,0,default,10.0,22.180916212384297,True,True,False,Optimization terminated successfully,0.12747625941372842
level2_audit_003,1,constant_0.0,10.0,22.180916212384297,True,True,False,Optimization terminated successfully,0.12747625941372842
level2_audit_003,2,constant_2.5,9.999999999999913,22.18091621238434,True,True,False,Optimization terminated successfully,0.12747625941373109
level2_audit_003,3,constant_5.0,9.999999999999993,22.180916212384297,True,True,False,Optimization terminated successfully,0.12747625941372842
level2_audit_003,4,constant_7.5,10.0,22.180916212384297,True,True,False,Optimization terminated successfully,0.12747625941372842
level2_audit_003,5,constant_10.0,10.0,22.180916212384297,True,True,False,Optimization terminated successfully,0.12747625941372842
level2_audit_003,6,ramp_up,10.0,22.180916212384297,True,True,False,Optimization terminated successfully,0.12747625941372842
level2_audit_003,7,ramp_down,9.999999999999998,22.180916212384297,True,True,False,Optimization terminated successfully,0.12747625941372842
level2_audit_003,8,alternating,10.0,22.180916212384297,True,True,False,Optimization terminated successfully,0.12747625941372842
level2_audit_003,9,random_09,9.999999999999968,22.180916212384297,True,True,False,Optimization terminated successfully,0.1274762594137293
level2_audit_003,10,random_10,10.0,22.180916212384297,True,True,False,Optimization terminated successfully,0.12747625941372842
level2_audit_003,11,random_11,10.0,22.180916212384297,True,True,False,Optimization terminated successfully,0.12747625941372842
level2_audit_003,12,random_12,9.999999999999952,22.180916212384297,True,True,False,Optimization terminated successfully,0.1274762594137302
level2_audit_003,13,random_13,9.99999999999995,22.18091621238431,True,True,False,Optimization terminated successfully,0.12747625941373197
level2_audit_003,14,random_14,10.0,22.180916212384297,True,True,False,Optimization terminated successfully,0.12747625941372842
level2_audit_004,0,default,10.0,20.589493772243962,True,True,False,Optimization terminated successfully,0.11483904193594441
