trajectory_id,initial_soc,initial_polarization_1_v,initial_polarization_2_v,split
global_000,0.4495,0.03,0.03,train
global_001,0.27475000000000005,0.06,0.06,train
global_002,0.6242500000000001,0.009999999999999998,0.09,train
global_003,0.187375,0.039999999999999994,0.12,test
global_004,0.536875,0.06999999999999999,0.006,train
global_005,0.36212500000000003,0.019999999999999997,0.036000000000000004,validation
global_006,0.7116250000000001,0.05,0.066,train
global_007,0.14368750000000002,0.07999999999999999,0.096,train
global_008,0.4931875,0.003333333333333333,0.126,train
global_009,0.31843750000000004,0.03333333333333333,0.012,train
global_010,0.6679375000000001,0.06333333333333334,0.042,train
global_011,0.23106250000000003,0.013333333333333332,0.07200000000000001,train
global_012,0.5805625000000001,0.04333333333333333,0.102,train
global_013,0.4058125,0.07333333333333332,0.132,train
global_014,0.7553125,0.02333333333333333,0.018,train
global_015,0.12184375,0.05333333333333333,0.048,train
global_016,0.47134375000000006,0.08333333333333331,0.078,train
global_017,0.29659375,0.006666666666666666,0.108,train
global_018,0.64609375,0.03666666666666666,0.138,validation
global_019,0.20921875,0.06666666666666667,0.024,test
global_020,0.55871875,0.016666666666666666,0.054,train
global_021,0.3839687500000001,0.04666666666666666,0.084,train
global_022,0.73346875,0.07666666666666666,0.11399999999999999,test
global_023,0.16553125000000002,0.026666666666666665,0.14400000000000002,train
global_024,0.51503125,0.056666666666666664,0.0012,train
global_025,0.34028125000000004,0.08666666666666666,0.031200000000000002,validation
global_026,0.68978125,0.0011111111111111111,0.061200000000000004,train
global_027,0.25290625,0.031111111111111107,0.09119999999999999,train
global_028,0.60240625,0.0611111111111111,0.1212,validation
global_029,0.42765625000000007,0.01111111111111111,0.0072,train
global_030,0.77715625,0.041111111111111105,0.037200000000000004,train
global_031,0.110921875,0.07111111111111111,0.0672,train
global_032,0.4604218750000001,0.02111111111111111,0.0972,train
global_033,0.285671875,0.051111111111111114,0.1272,train
global_034,0.635171875,0.0811111111111111,0.013199999999999998,train
global_035,0.198296875,0.0044444444444444444,0.0432,train
global_036,0.5477968750000001,0.034444444444444444,0.0732,train
global_037,0.373046875,0.06444444444444444,0.10319999999999999,train
global_038,0.722546875,0.014444444444444444,0.13319999999999999,test
global_039,0.154609375,0.04444444444444444,0.0192,train
global_040,0.5041093750000001,0.07444444444444444,0.0492,train
global_041,0.329359375,0.024444444444444442,0.0792,validation
global_042,0.678859375,0.05444444444444444,0.10919999999999999,train
global_043,0.24198437500000003,0.08444444444444443,0.1392,test
global_044,0.5914843750000001,0.007777777777777777,0.0252,train
global_045,0.416734375,0.03777777777777777,0.0552,validation
global_046,0.766234375,0.06777777777777777,0.08520000000000001,validation
global_047,0.132765625,0.017777777777777778,0.1152,train
global_048,0.48226562500000003,0.047777777777777766,0.1452,train
global_049,0.307515625,0.07777777777777777,0.0024,train
global_050,0.657015625,0.027777777777777776,0.032400000000000005,train
global_051,0.22014062500000003,0.057777777777777775,0.062400000000000004,train
global_052,0.569640625,0.08777777777777776,0.0924,train
global_053,0.39489062500000005,0.0022222222222222222,0.12240000000000001,test
global_054,0.7443906250000001,0.03222222222222222,0.0084,train
global_055,0.17645312500000002,0.062222222222222213,0.0384,validation
global_056,0.525953125,0.012222222222222221,0.0684,train
global_057,0.35120312500000006,0.04222222222222222,0.0984,test
global_058,0.700703125,0.07222222222222222,0.12840000000000001,train
global_059,0.263828125,0.02222222222222222,0.0144,train
global_060,0.613328125,0.052222222222222225,0.0444,train
global_061,0.43857812500000004,0.08222222222222221,0.07440000000000001,validation
global_062,0.7880781250000001,0.005555555555555555,0.10439999999999999,validation
global_063,0.1054609375,0.035555555555555556,0.1344,train
global_064,0.4549609375,0.06555555555555556,0.0204,train
global_065,0.28021093750000003,0.015555555555555553,0.0504,train
global_066,0.6297109375000001,0.04555555555555556,0.0804,train
global_067,0.1928359375,0.07555555555555554,0.1104,test
global_068,0.5423359375000001,0.025555555555555554,0.1404,train
global_069,0.3675859375,0.05555555555555555,0.026399999999999996,train
global_070,0.7170859375,0.08555555555555554,0.0564,train
global_071,0.1491484375,0.008888888888888889,0.0864,test
global_072,0.4986484375000001,0.03888888888888888,0.1164,test
global_073,0.3238984375,0.06888888888888889,0.1464,train
global_074,0.6733984375000001,0.018888888888888886,0.0036,train
global_075,0.23652343750000002,0.048888888888888885,0.0336,train
global_076,0.5860234375000001,0.07888888888888888,0.0636,train
global_077,0.4112734375,0.028888888888888888,0.0936,train
global_078,0.7607734375,0.058888888888888886,0.1236,train
global_079,0.1273046875,0.08888888888888888,0.0096,validation
global_080,0.47680468750000005,0.0003703703703703704,0.0396,train
global_081,0.30205468750000003,0.030370370370370367,0.0696,train
global_082,0.6515546875,0.060370370370370366,0.09960000000000001,train
global_083,0.21467968750000002,0.010370370370370368,0.12960000000000002,train
global_084,0.5641796875,0.04037037037037036,0.015600000000000001,train
global_085,0.38942968750000007,0.07037037037037036,0.04560000000000001,train
global_086,0.7389296875,0.02037037037037037,0.0756,train
global_087,0.1709921875,0.05037037037037037,0.10559999999999999,train
global_088,0.5204921875,0.08037037037037036,0.1356,train
global_089,0.3457421875,0.0037037037037037034,0.021599999999999998,train
global_090,0.6952421875,0.0337037037037037,0.0516,train
global_091,0.2583671875,0.0637037037037037,0.0816,validation
global_092,0.6078671875,0.013703703703703704,0.11159999999999999,train
global_093,0.43311718750000006,0.043703703703703696,0.1416,train
global_094,0.7826171875000001,0.07370370370370369,0.0276,train
global_095,0.11638281250000002,0.0237037037037037,0.0576,train
global_096,0.4658828125000001,0.0537037037037037,0.08760000000000001,train
global_097,0.2911328125,0.08370370370370368,0.1176,validation
global_098,0.6406328125,0.007037037037037036,0.1476,test
global_099,0.20375781250000002,0.037037037037037035,0.0048,train
global_100,0.5532578125000001,0.06703703703703703,0.0348,validation
global_101,0.3785078125,0.017037037037037035,0.06480000000000001,train
global_102,0.7280078125,0.04703703703703703,0.0948,train
global_103,0.1600703125,0.07703703703703703,0.12480000000000001,test
global_104,0.5095703125000001,0.027037037037037033,0.0108,train
global_105,0.3348203125,0.05703703703703703,0.0408,train
global_106,0.6843203125,0.08703703703703702,0.07079999999999999,train
global_107,0.24744531250000001,0.0014814814814814816,0.1008,train
global_108,0.5969453125,0.03148148148148148,0.1308,test
global_109,0.4221953125000001,0.06148148148148147,0.0168,test
global_110,0.7716953125,0.011481481481481481,0.04680000000000001,train
global_111,0.1382265625,0.04148148148148147,0.0768,train
global_112,0.4877265625,0.07148148148148148,0.10679999999999999,train
global_113,0.31297656250000006,0.02148148148148148,0.1368,train
global_114,0.6624765625,0.05148148148148148,0.022799999999999997,validation
global_115,0.22560156250000002,0.08148148148148147,0.05279999999999999,test
global_116,0.5751015625,0.004814814814814814,0.0828,train
global_117,0.40035156250000004,0.03481481481481481,0.1128,train
global_118,0.18191406250000003,0.014814814814814814,0.0288,train
global_119,0.5314140625,0.04481481481481481,0.0588,train
global_120,0.35666406250000005,0.0748148148148148,0.0888,train
global_121,0.7061640625000001,0.02481481481481481,0.1188,validation
global_122,0.2692890625,0.054814814814814816,0.14880000000000002,train
global_123,0.6187890625,0.0848148148148148,0.00024,test
global_124,0.4440390625,0.008148148148148147,0.03024,train
