trajectory_id,initial_soc,initial_polarization_1_v,initial_polarization_2_v,initial_previous_current_a,design_candidate_index,design_seed
phase7b1_confirm_000,0.58427734375,0.05292181069958846,0.019152000000000002,3.0945439400249897,401,20260725
phase7b1_confirm_001,0.52177734375,0.01958847736625514,0.037152000000000004,4.523115368596418,402,20260725
phase7b1_confirm_002,0.64677734375,0.03958847736625514,0.055152,5.951686797167847,403,20260725
phase7b1_confirm_003,0.49052734375,0.05958847736625514,0.07315200000000001,7.380258225739276,404,20260725
phase7b1_confirm_004,0.61552734375,0.0005761316872427984,0.004752,8.808829654310703,405,20260725
phase7b1_confirm_005,0.55302734375,0.0205761316872428,0.022752,0.44148271553519364,406,20260725
phase7b1_confirm_006,0.67802734375,0.04057613168724279,0.040752000000000003,1.8700541441066219,407,20260725
phase7b1_confirm_007,0.47490234375,0.007242798353909464,0.058752,3.2986255726780507,408,20260725
phase7b1_confirm_008,0.59990234375,0.027242798353909463,0.076752,4.727197001249479,409,20260725
phase7b1_confirm_009,0.53740234375,0.04724279835390945,0.008351999999999998,6.155768429820908,410,20260725
phase7b1_confirm_010,0.66240234375,0.01390946502057613,0.026352000000000004,7.584339858392337,411,20260725
phase7b1_confirm_011,0.50615234375,0.033909465020576124,0.044352,9.012911286963766,412,20260725
phase7b1_confirm_012,0.63115234375,0.05390946502057612,0.062352,0.6455643481882549,413,20260725
phase7b1_confirm_013,0.56865234375,0.0027983539094650206,0.080352,2.0741357767596833,414,20260725
phase7b1_confirm_014,0.69365234375,0.02279835390946502,0.011951999999999999,3.502707205331112,415,20260725
phase7b1_confirm_015,0.45537109375,0.042798353909465014,0.029952000000000003,4.93127863390254,416,20260725
phase7b1_confirm_016,0.58037109375,0.009465020576131687,0.047952,6.359850062473969,417,20260725
phase7b1_confirm_017,0.51787109375,0.029465020576131686,0.065952,7.788421491045398,418,20260725
phase7b1_confirm_018,0.48662109375,0.016131687242798353,0.015552,0.849645980841316,420,20260725
phase7b1_confirm_019,0.61162109375,0.03613168724279835,0.033552,2.2782174094127443,421,20260725
phase7b1_confirm_020,0.54912109375,0.056131687242798343,0.05155200000000001,3.706788837984173,422,20260725
phase7b1_confirm_021,0.67412109375,0.005020576131687242,0.069552,5.135360266555602,423,20260725
phase7b1_confirm_022,0.47099609375,0.025020576131687244,0.087552,6.56393169512703,424,20260725
phase7b1_confirm_023,0.59599609375,0.04502057613168724,0.0018719999999999997,7.992503123698459,425,20260725
