initial_state_id,sampling_method,state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,coverage_distance_standardized,assigned_split
phase6c_targeted_0000,targeted_boundary_sampling,0.1003,0.045,0.03,25.4,0.7142857142857142,,phase6c_train
phase6c_targeted_0001,targeted_boundary_sampling,0.1009,0.0225,0.06,25.8,1.4285714285714284,,phase6c_train
phase6c_targeted_0002,targeted_boundary_sampling,0.1015,0.0675,0.009999999999999998,26.2,2.142857142857143,,phase6c_train
phase6c_targeted_0003,targeted_boundary_sampling,0.10210000000000001,0.01125,0.039999999999999994,26.6,2.8571428571428568,,phase6c_train
phase6c_targeted_0004,targeted_boundary_sampling,0.1027,0.056249999999999994,0.06999999999999999,25.08,3.571428571428571,,phase6c_train
phase6c_targeted_0005,targeted_boundary_sampling,0.1033,0.03375,0.019999999999999997,25.48,4.285714285714286,,phase6c_train
phase6c_targeted_0006,targeted_boundary_sampling,0.1039,0.07875,0.05,25.88,0.1020408163265306,,phase6c_validation
phase6c_targeted_0007,targeted_boundary_sampling,0.10450000000000001,0.005625,0.07999999999999999,26.28,0.8163265306122448,,phase6c_train
phase6c_targeted_0008,targeted_boundary_sampling,0.10510000000000001,0.050624999999999996,0.003333333333333333,26.68,1.5306122448979593,,phase6c_train
phase6c_targeted_0009,targeted_boundary_sampling,0.1057,0.028124999999999997,0.03333333333333333,25.16,2.2448979591836733,,phase6c_train
phase6c_targeted_0010,targeted_boundary_sampling,0.1063,0.073125,0.06333333333333334,25.56,2.9591836734693877,,phase6c_train
phase6c_targeted_0011,targeted_boundary_sampling,0.10690000000000001,0.016875,0.013333333333333332,25.96,3.6734693877551017,,phase6c_train
phase6c_targeted_0012,targeted_boundary_sampling,0.10750000000000001,0.061875,0.04333333333333333,26.36,4.387755102040816,,phase6c_train
phase6c_targeted_0013,targeted_boundary_sampling,0.1081,0.039375,0.07333333333333332,26.76,0.2040816326530612,,phase6c_train
phase6c_targeted_0014,targeted_boundary_sampling,0.1087,0.08437499999999999,0.02333333333333333,25.24,0.9183673469387754,,phase6c_train
phase6c_targeted_0015,targeted_boundary_sampling,0.10930000000000001,0.0028125,0.05333333333333333,25.64,1.6326530612244896,,phase6c_train
phase6c_targeted_0016,targeted_boundary_sampling,0.10990000000000001,0.0478125,0.08333333333333331,26.04,2.346938775510204,,phase6c_train
phase6c_targeted_0017,targeted_boundary_sampling,0.11050000000000001,0.025312499999999998,0.006666666666666666,26.44,3.0612244897959187,,phase6c_train
phase6c_targeted_0018,targeted_boundary_sampling,0.1111,0.0703125,0.03666666666666666,26.84,3.775510204081632,,phase6c_train
phase6c_targeted_0019,targeted_boundary_sampling,0.11170000000000001,0.014062499999999999,0.06666666666666667,25.32,4.489795918367347,,phase6c_train
phase6c_targeted_0020,targeted_boundary_sampling,0.11230000000000001,0.0590625,0.016666666666666666,25.72,0.30612244897959184,,phase6c_train
phase6c_targeted_0021,targeted_boundary_sampling,0.1129,0.0365625,0.04666666666666666,26.12,1.0204081632653061,,phase6c_validation
phase6c_targeted_0022,targeted_boundary_sampling,0.1135,0.0815625,0.07666666666666666,26.52,1.7346938775510203,,phase6c_train
phase6c_targeted_0023,targeted_boundary_sampling,0.11410000000000001,0.0084375,0.026666666666666665,26.92,2.4489795918367347,,phase6c_train
phase6c_targeted_0024,targeted_boundary_sampling,0.11470000000000001,0.0534375,0.056666666666666664,25.016,3.1632653061224487,,phase6c_train
