trajectory_id,initial_soc,initial_polarization_v,split
level1_000,0.10135416666666668,0.04,train
level1_001,0.1040625,0.02,train
level1_002,0.10677083333333334,0.06,validation
level1_003,0.10947916666666667,0.01,train
level1_004,0.11218750000000001,0.05,train
level1_005,0.11489583333333334,0.03,validation
level1_006,0.11760416666666668,0.07,train
level1_007,0.1203125,0.005,train
level1_008,0.12302083333333334,0.045,train
level1_009,0.12572916666666667,0.025,test
level1_010,0.1284375,0.065,train
level1_011,0.13114583333333335,0.015,test
level1_012,0.13385416666666666,0.055,train
level1_013,0.1365625,0.035,train
level1_014,0.13927083333333334,0.075,train
level1_015,0.14197916666666668,0.0025,test
level1_016,0.14468750000000002,0.0425,test
level1_017,0.14739583333333334,0.0225,train
level1_018,0.15010416666666668,0.0625,train
level1_019,0.15281250000000002,0.0125,train
level1_020,0.15552083333333333,0.0525,train
level1_021,0.15822916666666667,0.0325,train
level1_022,0.1609375,0.0725,train
level1_023,0.16364583333333332,0.0075,train
level1_024,0.1663541666666667,0.0475,train
level1_025,0.1690625,0.0275,train
level1_026,0.17177083333333334,0.0675,test
level1_027,0.17447916666666669,0.0175,test
level1_028,0.1771875,0.0575,validation
level1_029,0.17989583333333334,0.0375,train
level1_030,0.18260416666666668,0.0775,train
level1_031,0.18531250000000002,0.00125,validation
level1_032,0.18802083333333333,0.04125,train
level1_033,0.19072916666666667,0.02125,train
level1_034,0.19343749999999998,0.06125,train
level1_035,0.19614583333333335,0.01125,train
level1_036,0.19885416666666667,0.051250000000000004,train
level1_037,0.2015625,0.03125,train
level1_038,0.20427083333333335,0.07125000000000001,train
level1_039,0.20697916666666666,0.00625,train
level1_040,0.20968750000000003,0.04625,train
level1_041,0.21239583333333334,0.02625,train
level1_042,0.21510416666666668,0.06625,validation
level1_043,0.21781250000000002,0.01625,train
level1_044,0.22052083333333333,0.05625,train
level1_045,0.22322916666666667,0.03625,test
level1_046,0.2259375,0.07625,train
level1_047,0.22864583333333333,0.00375,validation
level1_048,0.23135416666666667,0.043750000000000004,validation
level1_049,0.2340625,0.02375,train
level1_050,0.23677083333333335,0.06375,test
level1_051,0.23947916666666666,0.01375,train
level1_052,0.2421875,0.05375,test
level1_053,0.24489583333333334,0.03375,train
level1_054,0.24760416666666668,0.07375,train
level1_055,0.25031250000000005,0.00875,train
level1_056,0.25302083333333336,0.04875,train
level1_057,0.2557291666666667,0.02875,train
level1_058,0.2584375,0.06875,test
