trajectory_id,role,ambient_temperature_c,initial_temperature_c,base_state_id,risk_stratum,initial_soc,initial_polarization_1_v,initial_polarization_2_v,initial_previous_current_a,design_candidate_index,design_seed
phase7cr2_development_15c_000,development,15.0,15.0,development_000,general,0.6239501953125,0.012208504801097394,0.0213408,3.5110370678883793,1101,20260730
phase7cr2_development_15c_001,development,15.0,15.0,development_001,general,0.5614501953125,0.03220850480109738,0.0393408,4.939608496459808,1102,20260730
phase7cr2_development_15c_002,development,15.0,15.0,development_002,general,0.6864501953125,0.05220850480109738,0.0573408,6.368179925031237,1103,20260730
phase7cr2_development_15c_003,development,15.0,15.0,development_003,general,0.4598876953125,0.01887517146776406,0.0753408,7.796751353602666,1104,20260730
phase7cr2_development_15c_004,development,15.0,15.0,development_004,general,0.5848876953125,0.03887517146776406,0.0069408000000000004,9.225322782174093,1105,20260730
phase7cr2_development_15c_005,development,15.0,15.0,development_005,general,0.5223876953125,0.05887517146776405,0.024940800000000003,0.8579758433985839,1106,20260730
phase7cr2_development_15c_006,development,15.0,15.0,development_006,general,0.6473876953125,0.001838134430727023,0.042940799999999994,2.286547271970012,1107,20260730
phase7cr2_development_15c_007,development,15.0,15.0,development_007,general,0.4911376953125,0.021838134430727022,0.0609408,3.7151187005414403,1108,20260730
phase7cr2_development_15c_008,development,15.0,15.0,development_008,high_risk,0.660205078125,0.037585733882030174,0.07727039999999999,6.424822990420658,1113,20260730
phase7cr2_development_15c_009,development,15.0,15.0,development_009,high_risk,0.6352050781249999,0.047585733882030176,0.0862704,6.996251561849229,1114,20260730
phase7cr2_development_15c_010,development,15.0,15.0,development_010,high_risk,0.622705078125,0.03203017832647462,0.0610704,8.139108704706372,1116,20260730
phase7cr2_development_15c_011,development,15.0,15.0,development_011,high_risk,0.602392578125,0.045363511659807954,0.0538704,6.506455643481883,1120,20260730
phase7cr2_development_15c_012,development,15.0,15.0,development_012,high_risk,0.652392578125,0.05536351165980795,0.06287039999999999,7.077884214910454,1121,20260730
phase7cr2_development_15c_013,development,15.0,15.0,development_013,high_risk,0.6273925781249999,0.038696844993141286,0.0718704,7.649312786339025,1122,20260730
phase7cr2_development_15c_014,development,15.0,15.0,development_014,high_risk,0.6898925781249999,0.053141289437585726,0.0633024,6.028321532694711,1127,20260730
phase7cr2_development_15c_015,development,15.0,15.0,development_015,high_risk,0.608642578125,0.03647462277091906,0.07230239999999999,6.599750104123282,1128,20260730
phase7cr2_development_30c_000,development,30.0,30.0,development_000,general,0.6239501953125,0.012208504801097394,0.0213408,3.5110370678883793,1101,20260730
phase7cr2_development_30c_001,development,30.0,30.0,development_001,general,0.5614501953125,0.03220850480109738,0.0393408,4.939608496459808,1102,20260730
phase7cr2_development_30c_002,development,30.0,30.0,development_002,general,0.6864501953125,0.05220850480109738,0.0573408,6.368179925031237,1103,20260730
phase7cr2_development_30c_003,development,30.0,30.0,development_003,general,0.4598876953125,0.01887517146776406,0.0753408,7.796751353602666,1104,20260730
phase7cr2_development_30c_004,development,30.0,30.0,development_004,general,0.5848876953125,0.03887517146776406,0.0069408000000000004,9.225322782174093,1105,20260730
phase7cr2_development_30c_005,development,30.0,30.0,development_005,general,0.5223876953125,0.05887517146776405,0.024940800000000003,0.8579758433985839,1106,20260730
phase7cr2_development_30c_006,development,30.0,30.0,development_006,general,0.6473876953125,0.001838134430727023,0.042940799999999994,2.286547271970012,1107,20260730
phase7cr2_development_30c_007,development,30.0,30.0,development_007,general,0.4911376953125,0.021838134430727022,0.0609408,3.7151187005414403,1108,20260730
phase7cr2_development_30c_008,development,30.0,30.0,development_008,high_risk,0.660205078125,0.037585733882030174,0.07727039999999999,6.424822990420658,1113,20260730
phase7cr2_development_30c_009,development,30.0,30.0,development_009,high_risk,0.6352050781249999,0.047585733882030176,0.0862704,6.996251561849229,1114,20260730
phase7cr2_development_30c_010,development,30.0,30.0,development_010,high_risk,0.622705078125,0.03203017832647462,0.0610704,8.139108704706372,1116,20260730
phase7cr2_development_30c_011,development,30.0,30.0,development_011,high_risk,0.602392578125,0.045363511659807954,0.0538704,6.506455643481883,1120,20260730
phase7cr2_development_30c_012,development,30.0,30.0,development_012,high_risk,0.652392578125,0.05536351165980795,0.06287039999999999,7.077884214910454,1121,20260730
phase7cr2_development_30c_013,development,30.0,30.0,development_013,high_risk,0.6273925781249999,0.038696844993141286,0.0718704,7.649312786339025,1122,20260730
phase7cr2_development_30c_014,development,30.0,30.0,development_014,high_risk,0.6898925781249999,0.053141289437585726,0.0633024,6.028321532694711,1127,20260730
phase7cr2_development_30c_015,development,30.0,30.0,development_015,high_risk,0.608642578125,0.03647462277091906,0.07230239999999999,6.599750104123282,1128,20260730
