state_id,warm_start_index,warm_start_kind,first_action_a,objective_value,optimizer_success,prediction_feasible,used_fallback,status,minimum_constraint_margin,minimum_slew_margin_a,maximum_prediction_current_step_a
level3_audit_000,0,default,8.064139941690962,29.30247355355467,True,True,False,Optimization terminated successfully,0.0,0.0,2.0
level3_audit_000,1,constant_0.0,8.064139941690913,29.30247355355476,True,True,False,Optimization terminated successfully,4.973799150320701e-14,4.973799150320701e-14,1.9999999999999503
level3_audit_000,2,constant_2.5,8.06413994169099,29.302473553554663,True,True,False,Optimization terminated successfully,-2.6645352591003757e-14,-2.6645352591003757e-14,2.0000000000000266
level3_audit_000,3,constant_5.0,8.064139941690984,29.302473553554663,True,True,False,Optimization terminated successfully,-2.1316282072803006e-14,-2.1316282072803006e-14,2.0000000000000213
level3_audit_000,4,constant_7.5,8.064139941690962,29.30247355355467,True,True,False,Optimization terminated successfully,0.0,0.0,2.0
level3_audit_000,5,constant_10.0,8.064139941690962,29.30247355355467,True,True,False,Optimization terminated successfully,0.0,0.0,2.0
level3_audit_000,6,ramp_up,8.06413994169104,29.30247355355465,True,True,False,Optimization terminated successfully,-7.815970093361102e-14,-7.815970093361102e-14,2.000000000000078
level3_audit_000,7,ramp_down,8.06413994169096,29.30247355355467,True,True,False,Optimization terminated successfully,1.7763568394002505e-15,1.7763568394002505e-15,1.9999999999999982
level3_audit_000,8,alternating,8.064139941690934,29.30247355355469,True,True,False,Optimization terminated successfully,2.842170943040401e-14,2.842170943040401e-14,1.9999999999999716
level3_audit_000,9,random_09,8.064139941690934,29.30247355355469,True,True,False,Optimization terminated successfully,2.842170943040401e-14,2.842170943040401e-14,1.9999999999999716
level3_audit_000,10,random_10,8.06413994169103,29.302473553554663,True,True,False,Optimization terminated successfully,-6.750155989720952e-14,-6.750155989720952e-14,2.0000000000000675
level3_audit_000,11,random_11,8.06413994169096,29.30247355355467,True,True,False,Optimization terminated successfully,1.7763568394002505e-15,1.7763568394002505e-15,1.9999999999999982
level3_audit_000,12,random_12,8.06413994169096,29.30247355355467,True,True,False,Optimization terminated successfully,1.7763568394002505e-15,1.7763568394002505e-15,1.9999999999999982
