trajectory_id,initial_soc,initial_polarization_1_v,initial_polarization_2_v,initial_previous_current_a
level3_closed_00,0.653125,0.042222222222222223,0.0252,5.918367346938775
level3_closed_01,0.496875,0.008888888888888889,0.0432,7.346938775510204
level3_closed_02,0.621875,0.028888888888888888,0.06119999999999999,8.775510204081632
level3_closed_03,0.559375,0.04888888888888888,0.07919999999999999,0.4081632653061224
level3_closed_04,0.684375,0.015555555555555553,0.010799999999999999,1.8367346938775508
level3_closed_05,0.4578125,0.035555555555555556,0.0288,3.265306122448979
level3_closed_06,0.5828125,0.055555555555555546,0.0468,4.693877551020408
level3_closed_07,0.5203125,0.0044444444444444444,0.0648,6.122448979591837
level3_closed_08,0.6453125,0.024444444444444442,0.0828,7.551020408163266
level3_closed_09,0.4890625,0.04444444444444444,0.0144,8.979591836734693
level3_closed_10,0.6140625,0.01111111111111111,0.0324,0.6122448979591837
level3_closed_11,0.5515625,0.031111111111111107,0.0504,2.0408163265306123
