trajectory_id,role,ambient_temperature_c,initial_temperature_c,risk_stratum,historical_center_index,initial_soc,initial_polarization_1_v,initial_polarization_2_v,initial_previous_current_a,design_candidate_index,design_seed
phase7cr2f_development_30c_000,development,30.0,30.0,general,-1,0.6114990234375,0.0001371742112482853,0.0206496,1.2119950020824657,1701,20260731
phase7cr2f_development_30c_001,development,30.0,30.0,general,-1,0.5489990234375,0.020137174211248283,0.0386496,2.640566430653894,1702,20260731
phase7cr2f_development_30c_002,development,30.0,30.0,general,-1,0.6739990234375,0.04013717421124828,0.056649599999999994,4.0691378592253225,1703,20260731
phase7cr2f_development_30c_003,development,30.0,30.0,general,-1,0.4708740234375,0.006803840877914952,0.0746496,5.49770928779675,1704,20260731
phase7cr2f_development_30c_004,development,30.0,30.0,general,-1,0.5958740234375,0.026803840877914948,0.0062496,6.926280716368179,1705,20260731
phase7cr2f_development_30c_005,development,30.0,30.0,general,-1,0.5333740234375,0.04680384087791494,0.0242496,8.354852144939608,1706,20260731
phase7cr2f_development_30c_006,development,30.0,30.0,general,-1,0.5021240234375,0.03347050754458162,0.0602496,1.416076634735527,1708,20260731
phase7cr2f_development_30c_007,development,30.0,30.0,general,-1,0.6271240234375,0.053470507544581616,0.0782496,2.8446480633069546,1709,20260731
phase7cr2f_development_30c_008,development,30.0,30.0,high_risk,-1,0.6458496093749999,0.031179698216735253,0.0499248,7.709287796751354,1710,20260731
phase7cr2f_development_30c_009,development,30.0,30.0,high_risk,-1,0.605224609375,0.05117969821673525,0.0679248,8.852144939608497,1712,20260731
phase7cr2f_development_30c_010,development,30.0,30.0,high_risk,-1,0.680224609375,0.05451303155006858,0.0517248,6.008329862557268,1715,20260731
phase7cr2f_development_30c_011,development,30.0,30.0,high_risk,-1,0.617724609375,0.037846364883401915,0.060724799999999995,6.579758433985839,1716,20260731
phase7cr2f_development_30c_012,development,30.0,30.0,high_risk,-1,0.667724609375,0.047846364883401916,0.0697248,7.15118700541441,1717,20260731
phase7cr2f_development_30c_013,development,30.0,30.0,high_risk,-1,0.642724609375,0.05784636488340192,0.0787248,7.722615576842982,1718,20260731
phase7cr2f_development_30c_014,development,30.0,30.0,high_risk,-1,0.611474609375,0.04229080932784636,0.0535248,8.865472719700126,1720,20260731
phase7cr2f_development_30c_015,development,30.0,30.0,high_risk,-1,0.636474609375,0.0356241426611797,0.0715248,6.089962515618493,1722,20260731
phase7cr2f_development_30c_016,development,30.0,30.0,high_risk,-1,0.6864746093749999,0.045624142661179694,0.08052480000000001,6.661391087047064,1723,20260731
phase7cr2f_development_30c_017,development,30.0,30.0,high_risk,-1,0.6239746093749999,0.055624142661179696,0.0895248,7.232819658475635,1724,20260731
phase7cr2f_development_30c_018,development,30.0,30.0,high_risk,-1,0.673974609375,0.03895747599451303,0.0466848,7.804248229904207,1725,20260731
phase7cr2f_development_30c_019,development,30.0,30.0,high_risk,-1,0.6513183593749999,0.04043895747599451,0.0826848,6.171595168679716,1729,20260731
phase7cr2f_development_30c_020,development,30.0,30.0,historical_neighborhood,0,0.6052001953124999,0.050731595793324105,0.006820800000000002,8.713452728029988,1730,20260731
phase7cr2f_development_30c_021,development,30.0,30.0,historical_neighborhood,1,0.6043261718749999,0.036877000457247296,0.056712,8.849229487713451,1731,20260731
phase7cr2f_development_30c_022,development,30.0,30.0,historical_neighborhood,2,0.5309863281249999,0.04192501143118426,0.03636,9.047480216576428,1732,20260731
phase7cr2f_development_30c_023,development,30.0,30.0,historical_neighborhood,0,0.5977001953125,0.05517604023776855,0.014020800000000003,8.468554768846316,1736,20260731
phase7cr2f_development_30c_024,development,30.0,30.0,historical_neighborhood,1,0.596826171875,0.035395518975765816,0.063912,8.604331528529778,1737,20260731
phase7cr2f_development_30c_025,development,30.0,30.0,historical_neighborhood,2,0.538486328125,0.04044352994970278,0.04356,8.802582257392755,1738,20260731
phase7cr2f_development_30c_026,development,30.0,30.0,historical_neighborhood,0,0.6027001953125,0.040361225422953735,0.009220800000000001,9.611411911703458,1740,20260731
phase7cr2f_development_30c_027,development,30.0,30.0,historical_neighborhood,1,0.611826171875,0.03983996342021026,0.071112,8.359433569346105,1743,20260731
phase7cr2f_development_30c_028,development,30.0,30.0,historical_neighborhood,2,0.527236328125,0.044887974394147226,0.05076,8.55768429820908,1744,20260731
phase7cr2f_development_30c_029,development,30.0,30.0,historical_neighborhood,0,0.6164501953125,0.05591678097850929,0.010420800000000001,9.080799666805499,1745,20260731
phase7cr2f_development_30c_030,development,30.0,30.0,historical_neighborhood,1,0.585576171875,0.03613625971650656,0.060312,9.216576426488963,1746,20260731
phase7cr2f_development_30c_031,development,30.0,30.0,historical_neighborhood,2,0.5572363281249999,0.04118427069044352,0.03996,9.414827155351938,1747,20260731
